float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,91.15,
q43,4,3,2,90.98,
q43,4,3,3,91.21,
q43,4,3,4,91.16,
q43,4,3,5,91.40,
q43,4,3,6,91.21,
q52,5,2,1,90.99,
q52,5,2,2,91.05,
q52,5,2,3,91.31,
q52,5,2,4,91.40,
q52,5,2,5,91.10,
q52,5,2,6,91.05,
"custom(5, 5)",5,5,1,91.36,
"custom(5, 5)",5,5,2,91.56,
"custom(5, 5)",5,5,3,91.54,
"custom(5, 5)",5,5,4,91.23,
"custom(5, 5)",5,5,5,91.22,
"custom(5, 5)",5,5,6,91.04,
"custom(5, 7)",5,7,1,91.36,
"custom(5, 7)",5,7,2,91.34,
"custom(5, 7)",5,7,3,91.19,
"custom(5, 7)",5,7,4,91.29,
"custom(5, 7)",5,7,5,91.23,
"custom(5, 7)",5,7,6,91.43,
"custom(8, 4)",8,4,1,91.31,
"custom(8, 4)",8,4,2,91.37,
"custom(8, 4)",8,4,3,91.46,
"custom(8, 4)",8,4,4,91.55,
"custom(8, 4)",8,4,5,91.41,
"custom(8, 4)",8,4,6,91.12,
half,5,10,1,91.26,
half,5,10,2,91.36,
half,5,10,3,91.32,
half,5,10,4,91.54,
half,5,10,5,91.38,
half,5,10,6,91.31,
bfloat16,8,7,1,91.11,
bfloat16,8,7,2,91.50,
bfloat16,8,7,3,91.16,
bfloat16,8,7,4,91.26,
bfloat16,8,7,5,91.16,
bfloat16,8,7,6,90.93,
tf32,8,10,1,91.15,
tf32,8,10,2,90.84,
tf32,8,10,3,90.91,
tf32,8,10,4,91.23,
tf32,8,10,5,91.32,
tf32,8,10,6,91.36,
fp32,8,23,1,91.39,
fp32,8,23,2,91.16,
fp32,8,23,3,91.31,
fp32,8,23,4,91.60,
fp32,8,23,5,91.19,
fp32,8,23,6,91.43,
