float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,90.33,
q43,4,3,2,90.10,
q43,4,3,3,89.95,
q43,4,3,4,90.10,
q43,4,3,5,89.33,
q43,4,3,6,89.72,
q52,5,2,1,90.02,
q52,5,2,2,83.42,
q52,5,2,3,88.56,
q52,5,2,4,90.25,
q52,5,2,5,90.56,
q52,5,2,6,89.56,
"custom(5, 5)",5,5,1,89.18,
"custom(5, 5)",5,5,2,90.48,
"custom(5, 5)",5,5,3,90.87,
"custom(5, 5)",5,5,4,90.56,
"custom(5, 5)",5,5,5,90.64,
"custom(5, 5)",5,5,6,90.41,
"custom(5, 7)",5,7,1,90.48,
"custom(5, 7)",5,7,2,90.02,
"custom(5, 7)",5,7,3,89.87,
"custom(5, 7)",5,7,4,90.87,
"custom(5, 7)",5,7,5,90.48,
"custom(5, 7)",5,7,6,89.56,
"custom(8, 4)",8,4,1,90.18,
"custom(8, 4)",8,4,2,90.25,
"custom(8, 4)",8,4,3,89.87,
"custom(8, 4)",8,4,4,89.87,
"custom(8, 4)",8,4,5,89.72,
"custom(8, 4)",8,4,6,89.64,
half,5,10,1,89.87,
half,5,10,2,89.56,
half,5,10,3,90.87,
half,5,10,4,89.41,
half,5,10,5,91.10,
half,5,10,6,90.10,
bfloat16,8,7,1,90.33,
bfloat16,8,7,2,89.95,
bfloat16,8,7,3,90.33,
bfloat16,8,7,4,89.79,
bfloat16,8,7,5,90.33,
bfloat16,8,7,6,90.02,
tf32,8,10,1,90.18,
tf32,8,10,2,91.02,
tf32,8,10,3,89.87,
tf32,8,10,4,89.95,
tf32,8,10,5,90.10,
tf32,8,10,6,90.25,
fp32,8,23,1,89.26,
fp32,8,23,2,90.41,
fp32,8,23,3,90.41,
fp32,8,23,4,89.95,
fp32,8,23,5,89.72,
fp32,8,23,6,90.18,
