float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,86.73,
q43,4,3,2,86.84,
q43,4,3,3,86.54,
q43,4,3,4,86.97,
q43,4,3,5,87.22,
q43,4,3,6,86.97,
q52,5,2,1,86.64,
q52,5,2,2,86.59,
q52,5,2,3,84.38,
q52,5,2,4,86.32,
q52,5,2,5,86.43,
q52,5,2,6,86.48,
"custom(5, 5)",5,5,1,87.27,
"custom(5, 5)",5,5,2,86.21,
"custom(5, 5)",5,5,3,86.37,
"custom(5, 5)",5,5,4,87.14,
"custom(5, 5)",5,5,5,87.03,
"custom(5, 5)",5,5,6,86.51,
"custom(5, 7)",5,7,1,86.78,
"custom(5, 7)",5,7,2,87.11,
"custom(5, 7)",5,7,3,86.86,
"custom(5, 7)",5,7,4,86.86,
"custom(5, 7)",5,7,5,87.30,
"custom(5, 7)",5,7,6,86.81,
"custom(8, 4)",8,4,1,86.73,
"custom(8, 4)",8,4,2,87.82,
"custom(8, 4)",8,4,3,86.97,
"custom(8, 4)",8,4,4,86.40,
"custom(8, 4)",8,4,5,87.19,
"custom(8, 4)",8,4,6,87.49,
half,5,10,1,86.02,
half,5,10,2,86.51,
half,5,10,3,86.89,
half,5,10,4,86.94,
half,5,10,5,86.81,
half,5,10,6,86.92,
bfloat16,8,7,1,87.33,
bfloat16,8,7,2,87.35,
bfloat16,8,7,3,86.54,
bfloat16,8,7,4,86.64,
bfloat16,8,7,5,86.51,
bfloat16,8,7,6,87.11,
tf32,8,10,1,86.56,
tf32,8,10,2,86.97,
tf32,8,10,3,86.73,
tf32,8,10,4,86.48,
tf32,8,10,5,87.05,
tf32,8,10,6,87.41,
fp32,8,23,1,86.70,
fp32,8,23,2,87.00,
fp32,8,23,3,86.51,
fp32,8,23,4,86.75,
fp32,8,23,5,86.21,
fp32,8,23,6,86.84,
