Dataset,Format,Exp_Bits,Sig_Bits,Rounding_Mode,Accuracy,Weight_MSE,Activation_SQNR_dB
MNIST,q43,4,3,1,99.6700,0.00261011,24.7931
MNIST,q43,4,3,2,9.8000,0.00925650,-10.3695
MNIST,q43,4,3,3,73.9600,0.00998559,2.0469
MNIST,q43,4,3,4,99.6800,0.00882322,11.5726
MNIST,q43,4,3,5,99.6000,0.00533287,20.2363
MNIST,q43,4,3,6,99.6500,0.00921683,19.2040
MNIST,q52,5,2,1,99.6600,0.00937349,20.1070
MNIST,q52,5,2,2,9.8000,0.03657637,-34.1180
MNIST,q52,5,2,3,14.3900,0.04193136,0.5499
MNIST,q52,5,2,4,99.6200,0.03370078,8.9599
MNIST,q52,5,2,5,99.5500,0.02072994,18.6619
MNIST,q52,5,2,6,99.5600,0.03634879,15.0695
MNIST,"custom(5, 5)",5,5,1,99.6700,0.00014605,36.2644
MNIST,"custom(5, 5)",5,5,2,99.4800,0.00060531,10.5527
MNIST,"custom(5, 5)",5,5,3,99.5400,0.00062690,8.3650
MNIST,"custom(5, 5)",5,5,4,99.7000,0.00059431,22.7176
MNIST,"custom(5, 5)",5,5,5,99.6600,0.00027870,33.1796
MNIST,"custom(5, 5)",5,5,6,99.6700,0.00066687,29.6969
MNIST,"custom(5, 7)",5,7,1,99.6700,0.00000952,44.0550
MNIST,"custom(5, 7)",5,7,2,99.6100,0.00003812,20.1475
MNIST,"custom(5, 7)",5,7,3,99.6500,0.00003825,17.2350
MNIST,"custom(5, 7)",5,7,4,99.6900,0.00003499,34.5986
MNIST,"custom(5, 7)",5,7,5,99.6800,0.00001930,45.2447
MNIST,"custom(5, 7)",5,7,6,99.6900,0.00004438,37.9884
MNIST,"custom(8, 4)",8,4,1,99.6800,0.00062668,30.1909
MNIST,"custom(8, 4)",8,4,2,99.2600,0.00247410,5.6450
MNIST,"custom(8, 4)",8,4,3,98.9600,0.00241019,7.6904
MNIST,"custom(8, 4)",8,4,4,99.7200,0.00227189,16.6660
MNIST,"custom(8, 4)",8,4,5,99.6400,0.00120643,29.7763
MNIST,"custom(8, 4)",8,4,6,99.6700,0.00262587,24.8378
MNIST,half,5,10,1,99.6800,0.00000014,63.6816
MNIST,half,5,10,2,99.6800,0.00000060,36.6642
MNIST,half,5,10,3,99.6600,0.00000062,36.3673
MNIST,half,5,10,4,99.6800,0.00000065,52.6708
MNIST,half,5,10,5,99.6800,0.00000025,59.7476
MNIST,half,5,10,6,99.6900,0.00000069,59.2340
MNIST,bfloat16,8,7,1,99.6700,0.00000952,44.0552
MNIST,bfloat16,8,7,2,99.6100,0.00003812,20.1476
MNIST,bfloat16,8,7,3,99.6500,0.00003825,17.2350
MNIST,bfloat16,8,7,4,99.6900,0.00003499,34.5979
MNIST,bfloat16,8,7,5,99.6800,0.00001930,45.2434
MNIST,bfloat16,8,7,6,99.6900,0.00004438,37.9879
MNIST,tf32,8,10,1,99.6800,0.00000014,63.6779
MNIST,tf32,8,10,2,99.6800,0.00000060,36.6641
MNIST,tf32,8,10,3,99.6600,0.00000062,36.3678
MNIST,tf32,8,10,4,99.6800,0.00000065,52.6685
MNIST,tf32,8,10,5,99.6800,0.00000025,59.7430
MNIST,tf32,8,10,6,99.6900,0.00000069,59.2315
MNIST,fp32,8,23,1,99.6800,0.00000000,100.0000
MNIST,fp32,8,23,2,99.6800,0.00000000,100.0000
MNIST,fp32,8,23,3,99.6800,0.00000000,100.0000
MNIST,fp32,8,23,4,99.6800,0.00000000,100.0000
MNIST,fp32,8,23,5,99.6800,0.00000000,100.0000
MNIST,fp32,8,23,6,99.6800,0.00000000,100.0000
FashionMNIST,q43,4,3,1,91.3600,0.00225478,22.5005
